n,w,percent absorbed/blocked,ab
0.05,0.00000005,100,0
0.1,0.0000001,100,0
0.15,0.00000015,100,0
0.2,0.0000002,100,0
0.225,0.000000225,100,0
0.25,0.00000025,100,0
0.275,0.000000275,100,0
0.3,0.0000003,100,0
0.305,0.000000305,90,0.1
0.31,0.00000031,80,0.2
0.315,0.000000315,70,0.3
0.32,0.00000032,60,0.4
0.325,0.000000325,55,0.45
0.33,0.00000033,55,0.45
0.335,0.000000335,50,0.5
0.34,0.00000034,50,0.5
0.345,0.000000345,45,0.55
0.35,0.00000035,40,0.6
0.355,0.000000355,40,0.6
0.36,0.00000036,40,0.6
0.365,0.000000365,37,0.63
0.37,0.00000037,35,0.65
0.375,0.000000375,35,0.65
0.38,0.00000038,35,0.65
0.385,0.000000385,30,0.7
0.39,0.00000039,30,0.7
0.395,0.000000395,30,0.7
0.4,0.0000004,25,0.75
0.405,0.000000405,25,0.75
0.41,0.00000041,25,0.75
0.415,0.000000415,25,0.75
0.42,0.00000042,22,0.78
0.425,0.000000425,20,0.8
0.43,0.00000043,20,0.8
0.435,0.000000435,20,0.8
0.44,0.00000044,19,0.81
0.445,0.000000445,18,0.82
0.45,0.00000045,17,0.83
0.455,0.000000455,16,0.84
0.46,0.00000046,15,0.85
0.465,0.000000465,15,0.85
0.47,0.00000047,14,0.86
0.475,0.000000475,13,0.87
0.48,0.00000048,12,0.88
0.485,0.000000485,11,0.89
0.49,0.00000049,11,0.89
0.495,0.000000495,10,0.9
0.5,0.0000005,10,0.9
0.55,0.00000055,5,0.95
0.6,0.0000006,5,0.95
0.65,0.00000065,0,1
0.7,0.0000007,10,0.9
0.75,0.00000075,0,1
0.775,0.000000775,40,0.6
0.8,0.0000008,3,0.97
0.825,0.000000825,20,0.8
0.85,0.00000085,0,1
0.9,0.0000009,20,0.8
0.95,0.00000095,70,0.3
1,0.000001,0,1
1.05,0.00000105,0,1
1.1,0.0000011,0,1
1.15,0.00000115,50,0.5
1.2,0.0000012,60,0.4
1.25,0.00000125,15,0.85
1.3,0.0000013,0,1
1.35,0.00000135,5,0.95
1.4,0.0000014,30,0.7
1.45,0.00000145,100,0
1.5,0.0000015,90,0.1
1.55,0.00000155,75,0.25
1.6,0.0000016,20,0.8
1.65,0.00000165,5,0.95
1.7,0.0000017,0,1
1.75,0.00000175,5,0.95
1.8,0.0000018,20,0.8
1.85,0.00000185,95,0.05
1.9,0.0000019,100,0
1.95,0.00000195,90,0.1
2,0.000002,75,0.25
2.05,0.00000205,30,0.7
2.1,0.0000021,10,0.9
2.15,0.00000215,0,1
2.2,0.0000022,5,0.95
2.25,0.00000225,5,0.95
2.3,0.0000023,5,0.95
2.35,0.00000235,10,0.9
2.4,0.0000024,25,0.75
2.45,0.00000245,40,0.6
2.5,0.0000025,50,0.5
2.55,0.00000255,95,0.05
2.6,0.0000026,100,0
2.65,0.00000265,100,0
2.7,0.0000027,100,0
2.75,0.00000275,100,0
2.8,0.0000028,100,0
2.85,0.00000285,100,0
2.9,0.0000029,95,0.05
2.95,0.00000295,85,0.15
3,0.000003,80,0.2
3.05,0.00000305,85,0.15
3.1,0.0000031,90,0.1
3.15,0.00000315,60,0.4
3.2,0.0000032,50,0.5
3.25,0.00000325,90,0.1
3.3,0.0000033,70,0.3
3.35,0.00000335,65,0.35
3.4,0.0000034,40,0.6
3.45,0.00000345,20,0.8
3.5,0.0000035,10,0.9
3.55,0.00000355,15,0.85
3.6,0.0000036,20,0.8
3.65,0.00000365,10,0.9
3.7,0.0000037,20,0.8
3.75,0.00000375,10,0.9
3.8,0.0000038,15,0.85
3.85,0.00000385,10,0.9
3.9,0.0000039,15,0.85
3.95,0.00000395,10,0.9
4,0.000004,0,1
4.1,0.0000041,70,0.3
4.2,0.0000042,90,0.1
4.3,0.0000043,100,0
4.4,0.0000044,100,0
4.5,0.0000045,90,0.1
4.6,0.0000046,30,0.7
4.7,0.0000047,35,0.65
4.8,0.0000048,60,0.4
4.9,0.0000049,60,0.4
5,0.000005,70,0.3
5.25,0.00000525,100,0
5.5,0.0000055,100,0
6,0.000006,100,0
6.5,0.0000065,100,0
7,0.000007,90,0.1
7.5,0.0000075,90,0.1
8,0.000008,50,0.5
8.5,0.0000085,40,0.6
9,0.000009,20,0.8
9.5,0.0000095,30,0.7
9.75,0.00000975,50,0.5
10,0.00001,20,0.8
10.1,0.0000101,15,0.85
10.25,0.00001025,15,0.85
10.5,0.0000105,5,0.95
10.75,0.00001075,10,0.9
10.9,0.0000109,10,0.9
11,0.000011,5,0.95
11.25,0.00001125,10,0.9
11.5,0.0000115,0,1
11.75,0.00001175,5,0.95
12,0.000012,5,0.95
12.25,0.00001225,30,0.7
12.5,0.0000125,10,0.9
12.75,0.00001275,20,0.8
13,0.000013,30,0.7
13.25,0.00001325,50,0.5
13.5,0.0000135,30,0.7
14,0.000014,50,0.5
14.25,0.00001425,90,0.1
14.5,0.0000145,95,0.05
15,0.000015,100,0
15.5,0.0000155,100,0
16,0.000016,100,0
16.5,0.0000165,100,0
17,0.000017,100,0
17.5,0.0000175,75,0.25
18,0.000018,100,0
18.5,0.0000185,90,0.1
19,0.000019,100,0
19.5,0.0000195,100,0
20,0.00002,100,0
20.5,0.0000205,100,0
21,0.000021,100,0
21.5,0.0000215,100,0
22,0.000022,100,0
22.5,0.0000225,100,0
23,0.000023,100,0
23.5,0.0000235,100,0
24,0.000024,100,0
24.5,0.0000245,100,0
25,0.000025,100,0
25.5,0.0000255,100,0
26,0.000026,100,0
26.5,0.0000265,100,0
27,0.000027,100,0
27.5,0.0000275,100,0
28,0.000028,100,0
28.5,0.0000285,100,0
29,0.000029,100,0
29.5,0.0000295,100,0
30,0.00003,100,0
30.5,0.0000305,100,0
31,0.000031,100,0
31.5,0.0000315,100,0
32,0.000032,100,0
32.5,0.0000325,100,0
33,0.000033,100,0
33.5,0.0000335,100,0
34,0.000034,100,0
34.5,0.0000345,100,0
35,0.000035,100,0
35.5,0.0000355,100,0
36,0.000036,100,0
36.5,0.0000365,100,0
37,0.000037,100,0
37.5,0.0000375,100,0
38,0.000038,100,0
38.5,0.0000385,100,0
39,0.000039,100,0
39.5,0.0000395,100,0
40,0.00004,100,0
41,0.000041,100,0
42,0.000042,100,0
43,0.000043,100,0
44,0.000044,100,0
45,0.000045,100,0
46,0.000046,100,0
47,0.000047,100,0
48,0.000048,100,0
49,0.000049,100,0
50,0.00005,100,0
51,0.000051,100,0
52,0.000052,100,0
53,0.000053,100,0
54,0.000054,100,0
55,0.000055,100,0
56,0.000056,100,0
57,0.000057,100,0
58,0.000058,100,0
59,0.000059,100,0
60,0.00006,100,0
61,0.000061,100,0
62,0.000062,100,0
63,0.000063,100,0
64,0.000064,100,0
65,0.000065,100,0
66,0.000066,100,0
67,0.000067,100,0
68,0.000068,100,0
69,0.000069,100,0
70,0.00007,100,0